INDEX,DATE,RATE
RPI,1948-06-01,0.097
RPI,1948-07-01,0.072
RPI,1948-08-01,0.079
RPI,1948-09-01,0.076
RPI,1948-10-01,0.07
RPI,1948-11-01,0.051
RPI,1948-12-01,0.049
RPI,1949-01-01,0.046
RPI,1949-02-01,0.029
RPI,1949-03-01,0.023
RPI,1949-04-01,0.006
RPI,1949-05-01,0.026
RPI,1949-06-01,0.013
RPI,1949-07-01,0.03
RPI,1949-08-01,0.031
RPI,1949-09-01,0.032
RPI,1949-10-01,0.036
RPI,1949-11-01,0.033
RPI,1949-12-01,0.035
RPI,1950-01-01,0.036
RPI,1950-02-01,0.037
RPI,1950-03-01,0.042
RPI,1950-04-01,0.049
RPI,1950-05-01,0.033
RPI,1950-06-01,0.023
RPI,1950-07-01,0.022
RPI,1950-08-01,0.017
RPI,1950-09-01,0.02
RPI,1950-10-01,0.025
RPI,1950-11-01,0.029
RPI,1950-12-01,0.032
RPI,1951-01-01,0.039
RPI,1951-02-01,0.046
RPI,1951-03-01,0.05
RPI,1951-04-01,0.063
RPI,1951-05-01,0.087
RPI,1951-06-01,0.096
RPI,1951-07-01,0.113
RPI,1951-08-01,0.122
RPI,1951-09-01,0.123
RPI,1951-10-01,0.119
RPI,1951-11-01,0.119
RPI,1951-12-01,0.12
RPI,1952-01-01,0.13
RPI,1952-02-01,0.12
RPI,1952-03-01,0.118
RPI,1952-04-01,0.118
RPI,1952-05-01,0.091
RPI,1952-06-01,0.106
RPI,1952-07-01,0.088
RPI,1952-08-01,0.076
RPI,1952-09-01,0.067
RPI,1952-10-01,0.069
RPI,1952-11-01,0.063
RPI,1952-12-01,0.064
RPI,1953-01-01,0.044
RPI,1953-02-01,0.046
RPI,1953-03-01,0.048
RPI,1953-04-01,0.041
RPI,1953-05-01,0.037
RPI,1953-06-01,0.026
RPI,1953-07-01,0.027
RPI,1953-08-01,0.026
RPI,1953-09-01,0.026
RPI,1953-10-01,0.017
RPI,1953-11-01,0.021
RPI,1953-12-01,0.011
RPI,1954-01-01,0.013
RPI,1954-02-01,0.009
RPI,1954-03-01,0.011
RPI,1954-04-01,0.006
RPI,1954-05-01,0.007
RPI,1954-06-01,0.007
RPI,1954-07-01,0.023
RPI,1954-08-01,0.024
RPI,1954-09-01,0.024
RPI,1954-10-01,0.028
RPI,1954-11-01,0.03
RPI,1954-12-01,0.04
RPI,1955-01-01,0.042
RPI,1955-02-01,0.044
RPI,1955-03-01,0.034
RPI,1955-04-01,0.036
RPI,1955-05-01,0.037
